"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"MARKSANCHEZ","QB","espn","Mark Sanchez","PHI",47,371,"0",0.2,0.1,1.3,0,0,0,0,0,0,0,0
"CASEKEENUM","QB","espn","Case Keenum","STL",48,372,"0",0.1,0.1,0.9,0,0,0,0,0,0,0,0
"CHADHENNE","QB","espn","Chad Henne","JAC",49,373,"0",0.2,0.1,1.4,0,0,0,0,0,0,0,0
"COLTMCCOY","QB","espn","Colt McCoy","WAS",50,374,"0",0.2,0.1,1.3,0,0,0,0,0,0,0,0
"JOHNNYMANZIEL","QB","espn","Johnny Manziel","CLE",51,375,"0",0.2,0.1,1.4,0,0,0,0.1,0,0,0,0
"MIKEVICK","QB","espn","Mike Vick","PIT",52,376,"0",0,0,0,0,0,0,0,0,0,0,0
"TONYROMO","QB","espn","Tony Romo","DAL",53,377,"0",0,0,0,0,0,0,0,0,0,0,0
"RYANFITZPATRICK","QB","espn","Ryan Fitzpatrick","NYJ",54,378,"0",0,0,0,0,0,0,0,0,0,0,0
"CHARLIEWHITEHURST","QB","espn","Charlie Whitehurst","TEN",55,379,"0",0,0,0,0,0,0,0,0,0,0,0
"BRUCEGRADKOWSKI","QB","espn","Bruce Gradkowski","PIT",56,380,"0",0,0,0,0,0,0,0,0,0,0,0
"JOSHJOHNSON","QB","espn","Josh Johnson","BUF",57,381,"0",0,0,0,0,0,0,0,0,0,0,0
"JOEWEBB","QB","espn","Joe Webb","CAR",58,382,"0",0,0,0,0,0,0,0,0,0,0,0
"RICKYSTANZI","QB","espn","Ricky Stanzi","NYG",59,383,"0",0,0,0,0,0,0,0,0,0,0,0
"ROBERTGRIFFIN","QB","espn","Robert Griffin","WAS",60,384,"0",0,0,0,0,0,0,0,0,0,0,0
"KELLENMOORE","QB","espn","Kellen Moore","DAL",61,385,"0",0,0,0,0,0,0,0,0,0,0,0
"AUSTINDAVIS","QB","espn","Austin Davis","CLE",62,386,"0",0,0,0,0,0,0,0,0,0,0,0
"GJKINNE","QB","espn","G.J. Kinne","PHI",63,387,"0",0,0,0,0,0,0,0,0,0,0,0
"MATTSIMMS","QB","espn","Matt Simms","BUF",64,388,"0",0,0,0,0,0,0,0,0,0,0,0
"ZACDYSERT","QB","espn","Zac Dysert","CHI",65,389,"0",0,0,0,0,0,0,0,0,0,0,0
"BRADSORENSEN","QB","espn","Brad Sorensen","SD",66,390,"0",0,0,0,0,0,0,0,0,0,0,0
"RYANGRIFFIN","QB","espn","Ryan Griffin","TB",67,391,"0",0,0,0,0,0,0,0,0,0,0,0
"JEFFTUEL","QB","espn","Jeff Tuel","JAC",68,392,"0",0,0,0,0,0,0,0,0,0,0,0
"LOGANTHOMAS","QB","espn","Logan Thomas","MIA",69,393,"0",0,0,0,0,0,0,0,0,0,0,0
"DAVIDFALES","QB","espn","David Fales","CHI",70,394,"0",0,0,0,0,0,0,0,0,0,0,0
"KEITHWENNING","QB","espn","Keith Wenning","CIN",71,395,"0",0,0,0,0,0,0,0,0,0,0,0
"MATTBLANCHARD","QB","espn","Matt Blanchard","GB",72,396,"0",0,0,0,0,0,0,0,0,0,0,0
"CONNORSHAW","QB","espn","Connor Shaw","CLE",73,397,"0",0,0,0,0,0,0,0,0,0,0,0
"TREVORSIEMIAN","QB","espn","Trevor Siemian","DEN",74,398,"0",0,0,0,0,0,0,0,0,0,0,0
"DYLANTHOMPSON","QB","espn","Dylan Thompson","SF",75,399,"0",0,0,0,0,0,0,0,0,0,0,0
"SEANMANNION","QB","espn","Sean Mannion","STL",76,400,"0",0,0,0,0,0,0,0,0,0,0,0
