"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"ALLENHURNS","WR","JAC","espn","Allen Hurns",19,2015,26,50,12.75,10.66,12.75,0,0,0,0,0,0,0,0,0,4.7,63.5,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENREISNER","TE","BAL","average","Allen Reisner",20,2015,80,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLENREISNER","TE","BAL","averageRobust","Allen Reisner",20,2015,80,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLENREISNER","TE","BAL","averageWeighted","Allen Reisner",20,2015,80,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLENREISNER","TE","BAL","espn","Allen Reisner",20,2015,70,337,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENROBINSON","WR","JAC","average","Allen Robinson",21,2015,12,26,13.955,13.23,14.68,0,0,0,0,0,0,0,0,0,4.85,67.05,0.4,0,0,0,0,0,0,0,0,0,0,0
"ALLENROBINSON","WR","JAC","averageRobust","Allen Robinson",21,2015,12,26,13.955,13.23,14.68,0,0,0,0,0,0,0,0,0,4.85,67.05,0.4,0,0,0,0,0,0,0,0,0,0,0
"ALLENROBINSON","WR","JAC","averageWeighted","Allen Robinson",21,2015,12,26,13.955,13.23,14.68,0,0,0,0,0,0,0,0,0,4.85,67.05,0.4,0,0,0,0,0,0,0,0,0,0,0
"ALLENROBINSON","WR","JAC","cbs","Allen Robinson",21,2015,15,35,13.23,13.23,14.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,58.3,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENROBINSON","WR","JAC","espn","Allen Robinson",21,2015,14,24,14.68,13.23,14.68,0,0,0,0,0,0,0,0,0,5.3,75.8,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALONZOHARRIS","RB","GB","average","Alonzo Harris",22,2015,109,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALONZOHARRIS","RB","GB","averageRobust","Alonzo Harris",22,2015,109,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALONZOHARRIS","RB","GB","averageWeighted","Alonzo Harris",22,2015,109,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALONZOHARRIS","RB","GB","cbs","Alonzo Harris",22,2015,102,339,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALSHONJEFFERY","WR","CHI","average","Alshon Jeffery",23,2015,7,9,17.625,17.46,17.62,0,0,0,0,0,0,0.3,1.7,0,6.2,82.55,0.5,0,0,0,0,0,0,0,0,0,0,0
"ALSHONJEFFERY","WR","CHI","averageRobust","Alshon Jeffery",23,2015,7,9,17.625,17.46,17.62,0,0,0,0,0,0,0.3,1.7,0,6.2,82.55,0.5,0,0,0,0,0,0,0,0,0,0,0
"ALSHONJEFFERY","WR","CHI","averageWeighted","Alshon Jeffery",23,2015,7,9,17.625,17.46,17.62,0,0,0,0,0,0,0.3,1.7,0,6.2,82.55,0.5,0,0,0,0,0,0,0,0,0,0,0
"ALSHONJEFFERY","WR","CHI","cbs","Alshon Jeffery",23,2015,7,10,17.46,17.46,17.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,81.6,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALSHONJEFFERY","WR","CHI","espn","Alshon Jeffery",23,2015,7,8,17.62,17.46,17.62,0,0,0,0,0,0,0.3,1.7,0,6.1,83.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMARICOOPER","WR","OAK","average","Amari Cooper",24,2015,13,27,13.91,13.63,14.19,0,0,0,0,0,0,0,0,0,5.5,68.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0
"AMARICOOPER","WR","OAK","averageRobust","Amari Cooper",24,2015,13,27,13.91,13.63,14.19,0,0,0,0,0,0,0,0,0,5.5,68.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0
"AMARICOOPER","WR","OAK","averageWeighted","Amari Cooper",24,2015,13,27,13.91,13.63,14.19,0,0,0,0,0,0,0,0,0,5.5,68.1,0.3,0.2,0,0,0,0,0,0,0,0,0,0
"AMARICOOPER","WR","OAK","cbs","Amari Cooper",24,2015,11,25,14.19,13.63,14.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,74.9,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AMARICOOPER","WR","OAK","espn","Amari Cooper",24,2015,19,37,13.63,13.63,14.19,0,0,0,0,0,0,0,0,0,5.3,61.3,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDRECALDWELL","WR","DEN","average","Andre Caldwell",25,2015,94,236,2.71,2.29,3.13,0,0,0,0,0,0,0,0,0,0.9,12.1,0.1,0,0,0,0,0,0,0,0,0,0,0
"ANDRECALDWELL","WR","DEN","averageRobust","Andre Caldwell",25,2015,94,236,2.71,2.29,3.13,0,0,0,0,0,0,0,0,0,0.9,12.1,0.1,0,0,0,0,0,0,0,0,0,0,0
"ANDRECALDWELL","WR","DEN","averageWeighted","Andre Caldwell",25,2015,94,236,2.71,2.29,3.13,0,0,0,0,0,0,0,0,0,0.9,12.1,0.1,0,0,0,0,0,0,0,0,0,0,0
"ANDRECALDWELL","WR","DEN","cbs","Andre Caldwell",25,2015,91,226,3.13,2.29,3.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,14.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDRECALDWELL","WR","DEN","espn","Andre Caldwell",25,2015,89,220,2.29,2.29,3.13,0,0,0,0,0,0,0,0,0,0.7,9.9,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREHOLMES","WR","OAK","average","Andre Holmes",26,2015,85,203,3.87,2.17,5.57,0,0,0,0,0,0,0,0,0,1.1,15.7,0.2,0,0,0,0,0,0,0,0,0,0,0
"ANDREHOLMES","WR","OAK","averageRobust","Andre Holmes",26,2015,85,203,3.87,2.17,5.57,0,0,0,0,0,0,0,0,0,1.1,15.7,0.2,0,0,0,0,0,0,0,0,0,0,0
"ANDREHOLMES","WR","OAK","averageWeighted","Andre Holmes",26,2015,85,203,3.87,2.17,5.57,0,0,0,0,0,0,0,0,0,1.1,15.7,0.2,0,0,0,0,0,0,0,0,0,0,0
"ANDREHOLMES","WR","OAK","cbs","Andre Holmes",26,2015,70,173,5.57,2.17,5.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,22.7,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREHOLMES","WR","OAK","espn","Andre Holmes",26,2015,92,226,2.17,2.17,5.57,0,0,0,0,0,0,0,0,0,0.7,8.7,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
